,ZTD,RMS_ERROR,n
2021-12-02 14:00:00,1,2.42376,0.0007,1.0
2021-12-02 15:00:00,1,2.4329,0.00065,1.0
2021-12-02 16:00:00,1,2.42922,0.00065,1.0
2021-12-02 17:00:00,1,2.42783,0.00062,1.0
2021-12-02 18:00:00,1,2.41835,0.00068,1.0
2021-12-02 19:00:00,1,2.41811,0.00062,1.0
2021-12-02 20:00:00,1,2.41483,0.00073,1.0
2021-12-02 21:00:00,1,2.4254,0.00074,1.0
2021-12-02 22:00:00,1,2.42486,0.00078,1.0
2021-12-02 23:00:00,1,2.43626,0.00071,1.0
2021-12-03 00:00:00,1,2.43648,0.00095,1.0
2021-12-03 01:00:00,1,2.44106,0.00058,1.0
2021-12-03 02:00:00,1,2.43645,0.0005,1.0
2021-12-03 03:00:00,1,2.4317,0.00057,1.0
2021-12-03 04:00:00,1,2.43348,0.00059,1.0
2021-12-03 05:00:00,1,2.4272,0.00051,1.0
2021-12-03 06:00:00,1,2.4253,0.00057,1.0
2021-12-03 07:00:00,1,2.43643,0.00048,1.0
2021-12-03 08:00:00,1,2.43554,0.00053,1.0
2021-12-03 09:00:00,1,2.43412,0.00061,1.0
2021-12-03 10:00:00,1,2.43892,0.00054,1.0
2021-12-03 11:00:00,1,2.44602,0.00048,1.0
2021-12-03 12:00:00,1,2.46732,0.00066,1.0
2021-12-03 13:00:00,1,2.4695,0.00057,1.0
2021-12-03 14:00:00,1,2.47502,0.00055,1.0
2021-12-03 15:00:00,1,2.47705,0.00057,1.0
2021-12-03 16:00:00,1,2.47999,0.00051,1.0
2021-12-03 17:00:00,1,2.47841,0.0005,1.0
2021-12-03 18:00:00,1,2.48524,0.00058,1.0
2021-12-03 19:00:00,1,2.50114,0.00056,1.0
2021-12-03 20:00:00,1,2.50527,0.00062,1.0
2021-12-03 21:00:00,1,2.48236,0.0007,1.0
2021-12-03 22:00:00,1,2.47433,0.0006,1.0
2021-12-03 23:00:00,1,2.46552,0.0006,1.0
2021-12-04 00:00:00,1,2.46522,0.00073,1.0
2021-12-04 01:00:00,1,2.46715,0.00063,1.0
2021-12-04 02:00:00,1,2.47546,0.00056,1.0
2021-12-04 03:00:00,1,2.49021,0.00058,1.0
2021-12-04 04:00:00,1,2.50297,0.00064,1.0
2021-12-04 05:00:00,1,2.50078,0.00057,1.0
2021-12-04 06:00:00,1,2.49371,0.00064,1.0
2021-12-04 07:00:00,1,2.49098,0.00055,1.0
2021-12-04 08:00:00,1,2.49543,0.00052,1.0
2021-12-04 09:00:00,1,2.49551,0.00067,1.0
2021-12-04 10:00:00,1,2.49671,0.00054,1.0
2021-12-04 11:00:00,1,2.50603,0.00053,1.0
2021-12-04 12:00:00,1,2.51817,0.00067,1.0
2021-12-04 13:00:00,1,2.52579,0.00063,1.0
2021-12-04 14:00:00,1,2.52353,0.00054,1.0
2021-12-04 15:00:00,1,2.52738,0.00058,1.0
2021-12-04 16:00:00,1,2.5269800000000004,0.00052,1.0
2021-12-04 17:00:00,1,2.52639,0.00054,1.0
2021-12-04 18:00:00,1,2.51846,0.00059,1.0
2021-12-04 19:00:00,1,2.53863,0.00063,1.0
2021-12-04 20:00:00,1,2.53322,0.0006,1.0
2021-12-04 21:00:00,1,2.5310700000000006,0.00072,1.0
2021-12-04 22:00:00,1,2.52464,0.00065,1.0
2021-12-04 23:00:00,1,2.51758,0.00064,1.0
