,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101395.89141825493,299.34447174936105,30.184262937829015,2.50645900700091,0.005502864891385941,3.0
2022-11-27 01:00:00,101413.29498306198,298.81025661223845,34.42369324166675,2.5331605479452053,0.0019051912567775086,2.0
2022-11-27 02:00:00,101445.76967615553,298.3745647586016,33.36143492040272,2.527622663323215,0.00046151275977296353,2.0
2022-11-27 03:00:00,101416.16567416416,298.475277448387,35.53536392864312,2.5402515261744965,0.0018890396463772292,2.0
2022-11-27 04:00:00,101360.54603405918,298.3362501483571,38.0324636495618,2.5544154620434267,0.002155362672500974,2.0
2022-11-27 05:00:00,101304.38813937253,298.18080230107967,38.20040800523947,2.554261606032045,0.0022354212212589456,2.0
2022-11-27 06:00:00,101265.45439129905,298.20816987982573,36.79971615936195,2.5447368219178084,0.0015341803278261276,2.0
2022-11-27 07:00:00,101233.51795278715,298.1632870506822,39.378701439390895,2.559899113052243,0.005658565572905112,2.0
2022-11-27 08:00:00,101208.57882383686,298.17204467588095,39.03945481879084,2.557235408284024,0.003563106668511535,2.0
2022-11-27 09:00:00,101284.29330165719,297.96624048371075,46.526293011108685,2.6051865919463086,0.0016585467452275818,2.0
2022-11-27 10:00:00,101320.53577682238,297.74620515059263,46.95755918253276,2.6088437370753326,0.0009628276877397678,2.0
2022-11-27 11:00:00,101414.90974680695,297.8326866994301,46.522846036849586,2.6082596273671346,0.0008475601467660287,2.0
2022-11-27 12:00:00,101475.01484175913,297.94544112386376,45.10906328260235,2.6008452274225444,0.00014082568798799879,2.0
2022-11-27 13:00:00,101534.22284574184,298.0363014853006,45.20226853000237,2.602705816537955,0.0017930293343287995,2.0
2022-11-27 14:00:00,101583.02459447912,297.96952459316026,41.18502608352619,2.579146540540541,0.0014347409862374844,2.0
2022-11-27 15:00:00,101522.02240855753,298.16109764438255,41.3879845639773,2.5788667213114755,0.005202580469025272,2.0
2022-11-27 16:00:00,101456.89360417653,298.2453897869203,38.50127470795646,2.559562389016771,0.0018339000868403384,2.0
2022-11-27 17:00:00,101409.70661918423,298.5464331531267,37.852456547172174,2.554301400348634,0.003997506931155699,2.0
2022-11-27 18:00:00,101315.33264919964,298.8759388012289,34.471987375838886,2.5311767082568806,0.006114345210186842,2.0
2022-11-27 19:00:00,101253.6127905025,299.10911057214514,33.37685877526014,2.5229101129146083,0.0061578023681906026,2.0
2022-11-27 20:00:00,101217.90856991897,299.3641764060582,33.53375482221218,2.522913447270371,0.0038354081956848414,2.0
2022-11-27 21:00:00,101257.38057257413,299.58968525492554,30.612572439634782,2.50579,0.0018599999999999728,2.0
2022-11-27 22:00:00,101309.41184880138,299.93232734082585,29.11768504151917,2.4976550000000004,8.499999999989072e-05,2.0
2022-11-27 23:00:00,101344.03956022157,299.80753118174397,30.689275745426656,2.5081333185226327,0.0016008881487648942,2.0
2022-11-28 00:00:00,101389.432363275,299.6947767573103,27.66006133660511,2.490671315108036,0.00573106924772767,2.0
2022-11-28 01:00:00,101452.40814932935,299.57983292657696,30.220281477196213,2.507855841252096,0.0010682759447716809,2.0
2022-11-28 02:00:00,101455.27884043155,299.55793886358015,33.00026793841595,2.5249704451772463,0.00022954359963829748,2.0
